OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,5116,918,4046,8587,9565,7457,9967,4209,5945,8165,6638,6314,6810,3763,5998,612,925,8744,2445,5680
+,4314,8936,7198,9885,2945,2769,6539,5855,6228,502,9803,844,2972,5287,8341,2026,7428,5657,179,4264
+,6813,7202,4336,6134,7110,4248,8342,5041,2734,7917,4337,8464,4579,6856,9980,8453,3143,3080,5189,1987
-,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7582,564,7795,93,2512,4613,2624,5902,5407,9288,8228,8733,6055,4572,5781,6768,38,8133,3260,7855
+,8619,61,6616,7691,5183,9302,6342,3802,5933,6492,5784,4962,2259,5165,7109,2901,3557,7770,2775,4491
+,4542,7922,3835,4727,33,8464,400,3267,8278,4116,2141,8500,2462,4407,1613,1505,7020,3898,7751,6682
+,3895,1268,9692,4022,3474,990,3447,1112,3135,7984,9316,7949,6811,1997,9558,861,7560,4700,2673,9023
+,4962,6656,2389,9050,1280,7452,3221,8098,478,4257,8351,3310,4996,2782,4413,2135,6690,5263,4603,4984
+,6350,8761,9831,6286,5885,6592,821,7776,1900,3733,6564,8497,269,8105,9444,4807,3577,2393,8111,8800
-,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2448,3869,5334,641,9960,9908,2749,3974,4193,1105,6209,3643,3261,4360,3401,3901,813,9563,7078,321
+,9717,1795,8802,9270,3684,2562,8507,4198,9964,3383,1146,4221,8520,4390,9865,6049,704,6849,6245,4791
+,871,4632,9371,8650,939,7957,1605,3487,9888,3370,2010,4429,4983,2620,1012,52,6844,6824,2498,812
+,5321,4376,2927,459,9995,3367,2968,1106,1124,1401,3767,3603,1663,3992,21,9285,9580,7590,3999,3977
+,502,9823,151,8087,4283,6260,1333,8029,8722,3853,621,4074,687,2880,1462,5491,9823,229,1356,5653
+,3232,466,7505,8445,8487,8502,2086,972,7685,421,6473,8810,3215,111,734,9668,9890,1109,9182,699
+,6055,4941,208,6885,9902,5536,1294,7783,2027,2927,8655,8524,2367,3675,8848,581,1478,1648,4364,4917
+,9153,7007,3304,1910,76,1914,4823,3257,3604,653,5848,4422,9653,38,1653,3084,3175,3355,2540,8402
+,1239,4263,2850,8039,1983,8178,3159,162,8110,400,6597,1170,6563,7432,557,1083,734,1993,4745,2125
+,713,5937,1872,9995,3062,8830,595,2514,3553,7339,1862,6604,5111,4233,6737,6095,9075,1959,1470,915
+,6728,7109,4492,7050,1087,4484,3820,3983,5238,4538,7742,695,1827,284,9517,9846,512,3641,8407,369
+,5510,6959,4931,5269,6481,6988,3386,3703,6746,3680,1210,92,8211,3207,1707,1850,600,8412,2567,4191
+,3455,4175,5483,4816,1492,8433,3597,9189,2769,9741,7858,188,5810,183,3559,1348,2594,1730,9597,8321
+,2525,4669,4063,8544,9213,6931,9535,1017,3852,5643,4437,2301,8940,3550,9360,6992,1714,1651,2680,991
+,9575,6648,7208,562,2099,512,5113,9144,5032,4658,4157,6333,4250,7418,121,7678,7741,7769,4651,1743
+,5000,9217,6054,8328,6358,3376,7720,8800,1322,3274,4369,7767,8650,8628,6889,2209,9976,6505,498,3397
+,3482,4212,57,5298,9006,8283,9609,6709,1516,8422,5231,595,4267,836,50,5593,5074,1392,6113,7947
+,970,7620,3766,8412,272,9592,5046,6845,1442,9662,4313,1484,4867,3379,3317,1033,8757,9073,1408,7802
+,3756,2092,365,4457,1614,7042,4746,3514,1295,5913,2048,9610,2260,1107,326,4854,4245,6246,6577,4926
+,8493,3176,4028,7068,1086,4759,4773,8455,3510,5327,163,8802,5250,159,2161,3956,9482,74,5209,9985
+,9199,5762,8000,64,7796,4117,9878,8150,7811,7761,4960,8479,5113,5190,9640,5182,9502,1781,5810,5486
+,1155,6579,2396,6634,4990,1296,1976,1556,6357,2112,6785,6768,4622,6347,5709,8568,3237,7562,5263,8988
+,3567,484,6385,574,1486,11,169,885,2545,3300,9451,7591,7010,6149,3514,7546,5819,1954,4323,1527
+,3499,4755,5152,205,8906,777,987,4128,3660,9360,3297,4457,9767,9163,7109,6186,1813,513,2182,173
+,2843,2695,5078,9218,5718,7355,6052,1861,2667,8847,4646,575,610,5809,1119,6374,6684,6469,3009,6737
+,1297,1070,4641,759,8384,5870,6148,7118,7983,9897,1854,4609,6590,4131,2335,1210,6310,8122,1797,8689
+,9843,2673,4199,6839,9000,8046,7481,7403,118,9158,2947,595,8808,7725,4605,350,2882,5764,3713,8464
+,9721,1498,6859,8398,5693,6871,4624,9029,1695,8398,3258,2732,7263,1346,605,1350,8367,4343,892,8621
+,5718,2160,2675,2645,9907,8540,2023,8849,3111,3866,5052,8466,931,9009,403,487,5603,8185,1508,9864
+,5291,9877,2026,1900,2754,7211,721,6981,8991,3303,1616,122,8171,1536,3449,5782,8680,4700,4029,154
-,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8176,2416,432,9109,1397,7170,2368,6139,764,1425,4318,8271,5489,9486,2480,5956,1130,1302,6542,6339
+,2289,5827,3456,9961,6005,1174,1528,9163,2628,2500,7980,9330,6075,4053,9786,4926,7230,3159,1546,9848
+,7718,414,2789,2855,9301,6217,6243,3422,1909,9591,633,5187,7866,6986,2874,5694,5530,2708,9843,9690
+,4973,7271,2390,8502,1611,6098,5103,7387,9338,6567,5273,4642,4577,9908,5764,7279,6380,5668,2726,1100
+,3429,8088,8485,8863,2363,44,1829,9471,6670,5295,4377,2023,7029,4466,1748,1306,6326,8143,495,982
+,4935,4187,7666,3944,1494,593,9885,1065,5685,3799,3157,6520,4860,348,8385,2262,1016,5802,5232,8660
+,6591,244,9037,3704,9479,4669,6381,2861,3266,8710,9749,6783,39,4886,6758,8077,9695,8261,5640,740
+,2474,5846,8529,7256,2749,5135,9428,9406,1149,7479,4401,6308,6407,3912,6243,9159,723,2963,9108,3926
+,9594,8968,5397,4609,1681,3333,2283,3920,5485,5204,6617,83,7417,4395,3610,5796,2102,8817,3475,290
+,8329,9272,174,8783,5413,1520,967,5118,8261,3444,9537,9906,9252,7584,8184,5678,42,907,9021,9367
+,6903,4303,2106,3606,5290,1665,3505,4508,2248,9286,4831,6801,7779,280,1682,5663,4667,6854,4522,327
+,8788,4164,6942,3603,6765,5962,1595,5312,9723,8934,6786,9197,2437,3708,7214,8840,3686,837,1713,1700
+,5249,399,6357,9305,8553,7234,4013,5453,9181,6837,1731,9789,6242,4665,1947,199,3426,3670,4284,6735
+,6413,9544,620,6784,1520,7993,9357,2478,1683,6294,2458,5807,8117,3118,3792,6564,2571,3409,4282,1297
+,959,69,7661,1026,6907,4842,4101,789,8403,7158,9881,9562,6605,4326,7427,3808,5153,1681,8638,6380
+,682,9137,1366,3316,3054,782,9481,7638,887,2966,8253,8290,3099,5975,2319,4314,1089,7907,9551,5247
+,8334,6179,3846,9497,288,7895,1827,8755,1628,9695,5320,1551,6086,1599,1155,3314,7047,2231,2370,942
+,9678,9539,9764,8134,3822,2972,3254,9634,1006,919,6128,9736,3090,1077,5650,5587,2105,3823,1762,4548
-,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5996,258,6444,3183,3455,9533,3081,188,8827,6408,1440,7948,2176,5992,2783,5083,2916,4940,3728,2735
+,7688,7955,2080,7923,4013,1950,4277,9834,662,3561,4,4821,4223,1077,100,1219,814,9653,1234,5612
+,1486,7529,752,6901,8927,4824,1754,2948,88,9884,8200,2600,9225,5078,8445,9118,7912,4562,2490,3728
+,6141,132,7152,5713,5022,7386,3257,5594,4508,9056,6818,7482,5588,7284,3474,5917,3155,9646,273,2160
+,430,5395,71,6129,342,5288,6633,618,5138,4424,4342,8728,8082,9100,3037,3905,3126,6717,4064,4442
+,596,2232,2550,7407,4823,2642,5155,7148,7849,4698,2816,3699,7078,6854,1785,5230,8037,5864,3661,6403
-,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6696,9489,9270,7976,4675,1165,6311,6430,1511,92,9325,1086,7965,3173,3449,2874,1613,1619,6614,3289
+,9415,8151,9284,2390,3365,9039,2413,5549,3300,1229,6084,6516,9239,7463,2116,3406,9722,1556,8098,358
+,5097,7529,2869,8880,4456,3927,2983,8506,5534,5795,122,9265,2667,5381,2449,2589,9279,3781,9049,7153
+,7768,7148,7213,8715,9513,8577,8465,1066,7689,2436,4690,2509,6228,3074,5328,2560,6589,3725,2810,7900
+,3611,4262,8577,6766,7335,1959,3173,6498,4229,2792,8353,2789,6142,2858,3590,1397,312,2012,4180,9628
+,7725,2452,6024,2491,1008,6913,6022,2564,5523,180,1039,8653,4659,2232,4884,3547,1881,122,1642,2021
+,535,5731,7130,3550,9725,1146,5936,38,6387,5338,3426,6022,8874,7885,9205,5803,2070,9633,6927,3222
+,1065,3697,9049,7211,9282,9446,6581,8464,5493,3447,58,2090,2838,1962,8870,9274,6338,2637,4820,1929
+,62,6795,4657,1237,8541,7417,3223,4058,4242,6945,3237,70,1356,7662,2606,1291,5751,5163,3419,161
-,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4786,9643,5574,5815,5921,187,174,6380,1274,7817,3377,8788,1095,1766,6430,7008,6269,7079,4714,310
+,2883,8685,8094,9910,7013,7238,2057,9331,2433,8324,2758,2934,5843,1565,3701,1193,5480,320,1223,3609
+,3683,9798,8038,6053,1387,9595,2272,3305,8703,5977,2472,463,1081,7862,3475,38,2948,6489,3929,5592
+,2924,9988,9235,3205,3523,5064,8166,3477,9088,2584,796,9249,2678,3288,9200,2773,4798,9713,1348,5453
+,2606,8802,6807,7520,7361,135,6735,6778,818,4378,7379,6691,1618,4539,3798,5735,3257,8001,7588,1208
+,1460,6848,2292,458,3995,9153,5750,4666,8250,7985,341,1526,3172,5230,8688,150,1752,7430,3329,4120
+,283,1605,9959,9805,6144,4173,1942,7302,4571,5636,5777,5054,3226,534,543,951,2136,7314,3370,2182
+,5267,9367,7474,4202,4880,6215,7617,1793,7930,905,7906,9031,7191,3021,4773,632,7679,6928,4405,8085
-,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3154,1619,7745,946,3504,1340,3401,6205,8306,1357,9435,293,3353,9042,5075,434,7298,5979,3472,8148
+,2034,2978,7300,8794,5545,330,9832,9933,5897,4625,8528,6447,8359,9118,6031,2967,1341,9745,8731,3112
+,3755,1420,4324,5396,881,3964,4474,2627,259,985,5901,7723,3543,2910,2685,8277,5386,1950,6438,9058
+,2979,4566,5743,782,1111,8146,4757,4061,3348,2611,7390,6116,6360,8503,5517,7243,801,5475,4416,7812
-,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5929,8584,5669,5504,8027,3031,781,9601,9515,6832,655,1351,7522,4276,6062,6680,6255,6797,9178,7845
+,7713,9809,7001,9882,5001,9150,4883,6262,9621,2029,2632,723,9838,6442,7306,5823,3362,2110,4379,7733
+,6096,3581,9083,4119,7835,9306,1133,6989,987,8421,9721,4045,578,6524,7956,2857,4637,2521,9152,547
+,2207,3100,1694,4727,8194,5848,2868,6004,3535,6805,5787,6589,4500,2131,3464,1647,8359,2889,5566,7931
+,3,8031,2309,9478,3653,1904,2417,590,1795,6287,5956,8125,5010,4315,2601,5944,7852,1674,9700,9580
+,407,9328,2101,9429,3989,6827,6225,9940,4511,8198,2148,6796,7920,7653,2153,2043,7243,6836,814,423
+,7159,3719,613,9780,9601,4475,39,1522,2759,6905,9903,272,549,4884,7058,6042,8351,1722,7471,6479
+,1463,3468,4101,3185,9263,7123,6209,6965,7706,5131,6167,1821,7635,8937,3145,1300,1475,4073,8313,9205
+,6617,1266,7227,6874,5007,6194,6349,1757,7761,3799,3622,9378,8179,8110,9613,4156,3067,7280,1889,1034
-,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6803,3149,8968,5020,3727,8936,7862,8900,900,2914,8510,7194,4748,2912,3432,4805,2043,8111,4177,9088
+,4968,4715,7055,2517,2710,6748,5232,43,3179,8975,6883,2765,1748,6719,4371,9663,7113,6551,7612,2504
+,3626,3086,5595,2487,770,7663,4992,9685,5738,337,9150,3577,4344,9484,7413,3741,8228,5152,6034,7726
+,3212,4911,7751,9102,1705,1758,5666,6858,3808,520,1139,1252,9425,770,9512,4272,6568,1399,629,1652
+,3078,3554,1002,9314,4841,7102,812,1398,8500,5528,8345,6356,3145,9911,1320,4455,6071,2161,3590,7631
+,7540,9778,1212,6436,7995,1516,3390,2975,5101,5418,4847,865,1159,1990,8925,3979,7250,2043,5792,1217
+,4557,2974,5303,6733,2795,4950,2466,2524,4756,5853,2843,1952,5565,1382,2271,5383,1471,1388,1127,9185
-,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1003,4905,3366,2807,2723,1935,1942,8491,7915,6053,9866,9952,1186,1255,8584,4249,1436,1046,9555,6543
+,6692,7805,9176,1840,3810,7942,9632,7244,4619,8623,2076,5604,1729,2692,9418,3112,857,1316,6686,2002
+,1017,2934,6686,4569,7858,869,3358,1448,1525,9119,6169,5679,1311,7141,5216,9814,3246,2065,9501,1761
+,1201,6505,9252,9941,4689,3104,249,1027,7690,4414,5716,3788,7261,1016,7438,2701,3589,1734,7432,4739
+,3453,9932,6503,8707,9995,5638,2293,311,1962,7407,5574,4138,4916,6620,2010,8666,9702,3202,2330,4986
+,5331,4467,7323,4392,4200,8673,581,7340,9717,5006,8030,9088,1469,4476,5157,9809,5301,9701,10,4452
+,4688,6781,7873,107,8107,8478,6474,8894,3824,5064,376,8067,5417,9070,2405,1163,6078,304,1163,476
+,7367,3894,3454,2906,4104,7283,7007,4334,6513,6716,6679,4538,9556,9859,2909,2177,8135,9391,5555,4372
+,4404,1746,9465,7027,4855,2424,2344,2219,7841,7088,5619,5273,2457,8048,8261,6782,3073,3151,264,7009
+,1055,9859,8682,8383,5227,3075,8563,4374,2977,5399,8040,9976,2425,4154,6778,8630,5257,8142,792,6159
+,6400,4367,4723,3081,9307,7633,1305,5539,931,4564,8959,1970,3207,5016,558,657,9998,4886,3215,4446
+,9407,2367,6597,7071,9154,378,1856,6205,2827,1511,5156,4015,6859,4956,1047,2330,2180,7245,509,1235
+,1735,701,1720,3988,9760,5657,4575,1722,6584,8219,2652,9152,7587,8055,3953,857,6037,9508,8890,5636
+,4822,9247,7696,4313,7718,8786,7629,3180,3498,4268,2621,6830,5194,4711,3533,5194,7455,4123,9481,861
+,1502,7663,8205,4035,3160,9426,4238,8897,809,5200,6974,1677,1490,3087,6971,4456,8502,4931,5695,5901
+,9383,6609,807,5419,5478,2730,813,1117,1898,9836,8741,2881,482,9388,9917,5114,1808,1854,4039,9499
+,4382,2379,4251,3218,7289,626,4093,3623,8331,9548,149,86,8749,2732,9123,7917,1428,3675,4610,9107
+,7336,632,1056,8070,4305,7378,3495,6205,4289,8411,6220,177,3845,1333,619,348,8563,2256,4184,3625
+,6966,9185,8800,5899,8236,8321,5790,7955,3104,4692,9897,9811,5018,6407,9493,995,2876,8612,8946,5646
+,8887,499,2199,8185,9001,1022,6334,1597,1342,3568,550,6423,6696,4704,9246,3996,5085,4044,5290,5588
+,9330,5750,7313,8809,3714,9724,6386,934,4761,1770,3356,6225,200,9861,9811,142,8290,9403,5644,3514
+,7751,7499,7817,1533,2197,9671,6795,7530,641,262,3689,1082,8847,179,252,2373,6019,1555,4321,2330
+,2445,8816,7267,9309,1522,6292,7369,1052,6478,6777,9253,681,9031,8217,2091,7699,9418,4047,6532,3046
+,6628,1985,276,8526,9293,511,3474,9980,3753,2163,1008,3915,2980,8287,2746,9616,4151,7157,4526,4376
+,5077,8802,5293,2504,4748,9506,8013,9072,4678,2282,1353,1757,514,5498,2842,5209,6372,1281,5658,358
-,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4497,6138,1916,2893,3790,5437,8417,489,1959,8641,9974,392,6505,3516,349,2020,1080,5664,5099,8091
+,9119,2514,3137,6520,9923,8243,4695,3479,3361,4496,2870,7790,5732,5868,2727,9550,1874,6301,7083,484
+,6931,8200,1728,933,1246,946,9626,2,3222,4382,9610,317,2519,6781,6185,7074,4437,6456,4210,1595
+,2735,7838,8720,2561,1336,1182,7220,4654,9306,6676,1336,6780,831,1646,1480,2817,6762,7661,7063,1272
+,8347,1817,125,6406,181,3808,584,6795,8617,7481,2426,3177,3562,2046,4451,4592,5283,1434,7823,1375
+,9805,1942,2222,3486,5860,2972,9347,6095,4339,7026,5535,3065,9289,852,8533,9337,9202,7729,4339,1851
+,4707,8315,5951,1977,6113,4685,9880,7710,8537,443,1971,3539,375,8834,1854,634,9405,6331,2387,5734
-,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8053,8928,1142,2779,3657,5350,8536,9573,3556,8362,9132,7065,4974,9034,5270,4216,5655,3860,7768,464
+,5755,4704,6656,7883,9587,7532,953,7553,3374,860,8384,3882,9268,1940,361,8960,3154,3090,488,2110
+,2754,5648,6151,7855,7598,6456,65,2301,8290,1419,5854,540,1599,7844,5866,983,7211,6587,2902,5289
+,4219,7905,4546,5348,1483,8179,2187,2406,928,5560,5281,507,955,1311,5643,2557,6055,3205,7424,563
+,8923,1855,7311,7767,9163,1197,258,2076,5322,9824,4780,6593,7761,111,2721,5676,7148,7047,9430,3411
+,1948,5227,7428,8027,341,1446,5163,3722,1654,2533,9553,9544,1348,1847,874,3539,1026,4132,2341,2196
+,7563,7602,4932,30,6268,9594,2138,9560,2884,8941,5986,2041,1591,7317,9062,4262,8657,1342,6967,2041
+,6412,1447,1963,9013,2098,6973,7759,175,3754,7177,6475,9450,8722,3600,2116,9906,9431,3502,8473,7994
+,9785,5100,935,8419,8920,3291,6409,3488,6588,3826,9156,4861,1051,2900,3098,3517,9044,6760,9144,9483
+,9931,6657,4093,8223,1566,5171,8510,4714,9207,9835,6201,5391,5267,6826,8274,3659,7661,8602,5526,6249
+,5101,5492,5955,9074,622,7476,9426,2772,8390,6383,2032,3028,1603,3710,9846,156,9670,2144,8265,7719
+,9048,1101,9549,659,4305,9323,533,2687,1852,505,9763,3897,3696,8732,7499,5347,8967,7604,2065,5374
+,7792,2119,4200,3372,7805,373,6936,7581,5976,8611,7877,44,1882,8942,1270,2833,9107,9506,2265,2213
+,9694,3992,9986,1818,3505,2845,6970,6435,6706,8148,5511,51,589,7389,3944,2448,8488,1260,3846,3292
+,5647,6326,6738,4553,954,7241,7599,424,6228,1081,1260,677,853,5975,8305,3619,4214,1958,3343,1864
-,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7132,9368,1020,1726,5247,2,3044,245,2108,6705,5750,1439,1860,2636,1313,1268,2013,9014,6101,6489
+,8991,1526,823,2213,9231,3127,398,2590,1340,8695,5762,6379,2355,544,9341,9228,5251,1606,9633,76
-,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6547,2677,1031,6454,6356,9078,5373,3714,7922,8520,4252,9756,9781,6960,6259,7912,8654,4785,5282,6896
+,2901,9095,4328,2806,7244,876,8065,1710,6984,5415,2108,4124,8244,7734,3107,7666,2918,267,2367,8353
+,805,7871,5301,8934,789,678,6536,5579,4307,2910,926,6494,3847,5504,7067,2201,9204,1896,5306,6866
+,9623,6663,1135,2210,5507,2058,5445,8895,6455,9128,6939,1399,8749,1756,7232,9942,8022,225,2229,8834
+,8434,6845,4015,3424,620,9426,9307,9243,8109,1142,6658,4639,3783,3984,5119,8590,1756,7231,1738,4493
+,2588,3545,8660,5276,6246,8803,4436,1962,2745,3049,4881,7198,7449,5406,6380,207,4374,9142,5517,255
+,7879,6043,4100,5027,459,7692,9468,1627,5591,7384,2345,5033,4933,9941,2208,5177,7328,2890,3324,2148
+,7200,2983,813,2612,8703,9318,9364,5226,9998,3037,7474,3743,1496,6273,1503,2779,7546,7433,8672,2146
+,904,1092,518,3324,661,190,9096,2726,2453,289,9032,8911,3151,4203,6529,9487,3975,4075,9874,1928
+,5644,3268,9627,9332,2415,7684,6630,9404,2160,4934,9098,1855,2183,8121,2193,8988,9287,1055,7487,2577
+,3002,8896,1521,879,2629,3089,5262,3823,6511,4982,4576,3917,9989,8214,5488,4041,978,8987,9692,9513
+,9970,4871,3430,2630,2323,4898,225,9473,3038,606,9546,4567,8028,2862,3443,4178,2101,8008,1735,8243
+,1852,4475,9439,8571,4053,6785,311,6803,8817,1127,4097,5320,6100,330,5105,7614,3566,3823,8907,1684
+,808,6924,3514,1644,3366,7694,1475,3086,9424,4319,3827,7023,8152,7293,1674,4621,5063,5773,6233,4221
+,3295,9623,7627,9876,3033,2979,7043,6830,509,9609,9687,7851,5362,7525,8178,7508,8868,9118,9590,6301
+,8161,8814,5305,710,4668,8996,72,3565,2796,3703,6345,9394,3984,6171,293,3918,2359,9303,301,1408
-,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5989,4238,621,924,9809,415,3824,3072,7867,6213,9062,1747,9088,411,5851,8193,905,3156,4762,8427
+,2241,6717,852,5146,536,575,1077,6651,8672,6453,9786,8175,7218,2896,7225,6272,1359,199,8295,7698
+,6011,6843,7814,2571,9221,8530,5919,3530,9039,8726,4331,9730,9561,4215,7961,6438,9972,3945,9262,8081
+,1556,8639,5651,6136,9551,8613,5926,9473,7368,4559,4217,6860,7276,6471,95,9030,8644,4744,1424,5975
+,2683,8483,8891,2462,5950,5729,2746,2989,1926,6577,8858,2759,4424,2079,8154,6902,2607,2803,6917,4322
-,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6395,7777,8581,1390,443,1735,3543,7298,7306,9529,9754,7456,9575,2642,2989,6653,566,6660,663,2111
+,190,9198,804,2134,9159,3412,2455,1262,3704,5267,559,7782,2452,293,5785,4949,9928,8477,7176,4426
+,9108,7107,9480,8314,183,7158,2148,7020,564,290,5425,398,3591,3956,2704,6574,5419,4651,4820,6408
+,3666,2845,4989,679,5628,863,6530,8786,8337,4783,1795,1912,5805,6522,1966,9996,4435,9954,6381,8285
+,351,3626,8388,6132,1435,4934,6222,8850,7672,3424,9981,5201,1519,3707,4386,6755,42,2336,7001,1992
+,4681,8058,3640,496,1463,1156,2284,5032,4066,3274,7571,9485,4102,9515,732,2975,9155,5286,9373,4041
+,7801,2003,4384,4832,3954,9918,8606,6211,1951,8702,4278,8480,1801,782,3814,150,4936,1426,4982,9672
+,1210,9890,4526,1945,978,2381,6551,1220,9983,261,5349,9439,1251,9784,6099,7863,2516,1627,7587,8312
+,6052,3125,2091,3081,8497,3768,8149,9053,6999,8003,7491,3421,333,3985,4909,90,3468,3575,6842,3661
+,7820,7783,9855,8,6808,9198,5923,7812,1063,4702,7024,737,8244,696,1670,2317,4587,6000,4209,7851
+,3582,1253,84,1671,9244,226,6355,2165,3391,4568,5862,2483,8265,5776,4411,9411,2884,4210,7853,553
+,921,4308,2036,6388,8985,620,246,8754,1444,1931,3779,5436,6131,2117,534,8080,436,9527,3020,8164
+,6795,5183,2726,4616,4714,2633,3856,2002,4581,8579,8925,4962,1485,219,6473,219,3282,3574,3274,2811
+,8979,756,9781,7853,3797,5322,4020,4700,4763,3741,6367,4738,334,4848,4977,6393,7644,6889,7928,3306
+,4055,7383,7452,8368,9552,4706,10,8557,2774,5744,8128,5494,1301,7785,7095,4593,5945,1027,1283,5156
+,4588,715,5721,1153,2876,4124,8530,1289,3055,8716,7850,3305,6900,5952,2559,1170,7298,8829,1439,829
+,3256,864,1528,7944,6832,2948,7002,748,5796,2370,3293,6713,4007,7067,408,365,4161,4233,5303,6120
+,9107,3447,9583,4959,2325,1008,1005,7222,8557,1336,2560,1157,9887,6429,437,8737,6879,26,3881,4940
+,95,7794,5679,2913,9975,6119,9114,2801,7957,8591,3014,616,2850,7486,3937,2829,1991,4581,702,8434
+,4487,1533,4412,5653,442,9035,4649,2327,1273,663,3658,8301,9612,1644,4788,1162,8598,1800,2987,5435
+,9841,2361,3399,8236,9424,9654,549,145,3577,3757,2459,5159,386,2321,7490,2195,3381,6922,8681,3743
-,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,691,6900,8436,9479,2380,8430,2745,139,5642,1086,2113,2227,6117,4039,5521,4158,7844,1745,7309,6289
+,4094,3931,3225,1043,9864,6119,819,8477,243,5208,4452,4912,285,1276,3006,518,6188,6259,2013,442
+,480,8350,2147,5380,155,7238,5620,8609,6088,6764,9487,3093,6018,6814,3702,7330,6740,1027,8800,7977
+,5699,7815,3440,3545,8183,9431,6004,7936,5983,973,3912,6787,7321,8518,6908,2735,546,2011,7431,3678
+,1970,3554,5939,3467,5079,3992,8278,2722,3464,4462,2504,1002,2379,7709,2675,6233,5678,8690,682,4291
+,1845,1448,8157,1644,3114,3331,4200,1077,7355,3744,8352,3324,157,4612,5398,8470,5511,6056,8037,4806
+,4181,832,1277,252,4204,452,8632,3664,7723,3527,4800,1862,1869,3501,4415,8567,8035,8384,8373,6167
+,2951,5607,5553,1865,6086,7618,1669,6255,1673,1303,9781,7448,7750,3713,1129,7670,2847,2233,1790,4148
+,3493,132,5298,3084,5296,7823,2215,7562,2594,594,8821,8049,587,4840,5132,6218,6338,5140,691,8339
+,6855,4074,6372,1086,8957,1173,7850,4382,1568,1000,9124,3839,8268,815,4479,6986,7093,8187,9116,1260
-,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9540,4027,231,9534,7814,8575,2990,6249,132,2202,747,529,901,548,9641,7587,1533,6285,1350,7341
+,4656,7240,1714,6490,1041,1949,7625,7706,5974,7813,5308,9086,2843,4175,9345,8118,6802,1181,7190,9112
+,7259,2122,8992,9825,9243,252,5137,2881,4900,8646,1713,7948,5054,5215,2082,6402,5278,3427,803,8391
+,924,7411,9522,3349,2522,2362,936,9409,1904,5644,5899,8298,8141,4443,2863,1965,7269,2111,5841,5198
+,282,6983,3132,6838,4534,8980,830,3873,3949,802,7925,1141,7124,4894,4121,7725,5841,3665,7456,729
+,1654,399,5630,708,8438,9225,139,8221,9076,5366,2585,1130,3282,9375,3116,6874,8292,221,2169,6519
-,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3365,9867,5559,2852,7183,4857,8609,4092,7788,715,3841,2728,763,3081,7822,3685,4391,9740,2277,3869
+,4686,7426,816,3686,73,6543,4138,1619,9321,3367,7475,7038,6118,7801,5245,3580,7819,2785,4716,2466
+,811,575,3871,1082,8808,6453,7993,9951,1012,1943,6213,9945,3019,9124,5817,4508,5170,2421,94,9569
+,9538,1979,3597,4200,4940,2522,8011,8819,1825,1749,2162,4372,4480,3277,7910,580,5402,383,7760,1357
+,5795,1712,6914,5071,3489,2704,1121,6443,1343,7916,2853,4835,1670,1084,1259,3445,1571,405,2951,8388
